Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Проект завершений,FILM-38,10099,Task,To Do,FILM,Розробка каталогу фільмів ,software,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,,Medium,,,,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,05/Dec/25 1:34 PM,05/Dec/25 1:34 PM,,,15/Jan/26 12:00 AM,0,,,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,,,,,,,,,,,0|i0006n:,,,,,,10050,FILM-13,Здача проекту,To Do,05/Dec/25 1:34 PM
Демонстрація системи,FILM-37,10097,Story,To Do,FILM,Розробка каталогу фільмів ,software,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,,Medium,,Project Manager,712020:0a3211c7-08fa-4d65-bd5a-d20a64e10776,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,05/Dec/25 1:34 PM,05/Dec/25 10:10 PM,,,15/Jan/26 12:00 AM,0,Провести презентацію готової системи замовнику з демонстрацією всього функціоналу,,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,,,,,,,,,,,0|i0006f:,,15/Jan/26 12:00 AM,1.0,,,10050,FILM-13,Здача проекту,To Do,05/Dec/25 1:34 PM
Підготовка програмної та користувацької документації,FILM-36,10095,Story,To Do,FILM,Розробка каталогу фільмів ,software,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,,Medium,,Project Coordinator,712020:4d62d4b0-9296-414a-9676-eb9b77f97f9a,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,05/Dec/25 1:33 PM,05/Dec/25 10:10 PM,,,14/Jan/26 12:00 AM,0,"Створити технічну документацію, інструкції користувача та адміністратора системи",,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,,,,,,,,,,,0|i00067:,,09/Jan/26 12:00 AM,5.0,,,10050,FILM-13,Здача проекту,To Do,05/Dec/25 1:33 PM
Тестування завершено,FILM-35,10093,Task,To Do,FILM,Розробка каталогу фільмів ,software,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,,Medium,,,,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,05/Dec/25 1:32 PM,06/Dec/25 12:24 AM,,,09/Jan/26 12:00 AM,0,,,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,,,,,,,,,,,0|i0005z:,Sprint 2: Testing,,,,,10049,FILM-12,Тестування,To Do,05/Dec/25 1:32 PM
Підсумкове тестування,FILM-34,10091,Story,To Do,FILM,Розробка каталогу фільмів ,software,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,,Medium,,QA Tester,712020:e0f74716-b522-4f38-9944-e638b6e73d00,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,05/Dec/25 1:32 PM,06/Dec/25 12:24 AM,,,09/Jan/26 12:00 AM,0,Провести фінальне регресійне тестування та підтвердити готовність системи до здачі,,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,,,,,,,,,,,0|i0005r:,Sprint 2: Testing,08/Jan/26 12:00 AM,3.0,,,10049,FILM-12,Тестування,To Do,05/Dec/25 1:32 PM
Тестування інтерфейсу та навантаження,FILM-33,10089,Story,In Progress,FILM,Розробка каталогу фільмів ,software,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,,Medium,,QA Tester,712020:e0f74716-b522-4f38-9944-e638b6e73d00,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,05/Dec/25 1:31 PM,06/Dec/25 12:35 AM,,,06/Jan/26 12:00 AM,0,Перевірити юзабіліті інтерфейсу та провести навантажувальне тестування системи,,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,,,,,,,,,,,0|i0005j:,Sprint 2: Testing,02/Jan/26 12:00 AM,5.0,,,10049,FILM-12,Тестування,In Progress,06/Dec/25 12:35 AM
Функціональне тестування та виправлення помилок,FILM-32,10087,Story,Done,FILM,Розробка каталогу фільмів ,software,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,,Medium,Done,QA Tester,712020:e0f74716-b522-4f38-9944-e638b6e73d00,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,05/Dec/25 1:30 PM,06/Dec/25 12:35 AM,,06/Dec/25 12:35 AM,29/Dec/25 12:00 AM,0,"Провести функціональне тестування всіх компонентів системи, виявити та задокументувати дефекти",,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,,,,,,,,,,,0|i0005b:,Sprint 2: Testing,23/Dec/25 12:00 AM,8.0,,,10049,FILM-12,Тестування,Done,06/Dec/25 12:35 AM
Реалізація завершена,FILM-31,10085,Task,To Do,FILM,Розробка каталогу фільмів ,software,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,,Medium,,,,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,05/Dec/25 1:29 PM,05/Dec/25 1:29 PM,,,23/Dec/25 12:00 AM,0,,,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,,,,,,,,,,,0|i00053:,,,,,,10048,FILM-11,Реалізація,To Do,05/Dec/25 1:29 PM
Інтеграція фронтенду з бекендом,FILM-30,10083,Story,To Do,FILM,Розробка каталогу фільмів ,software,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,,Medium,,Backend Developer,712020:a2be462b-0e18-4dd7-8ff7-9d7c7312dbe3,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,05/Dec/25 1:28 PM,05/Dec/25 10:10 PM,,,23/Dec/25 12:00 AM,0,"Підключити фронтенд до API, налаштувати обмін даними та обробку помилок",,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,,,,,,,,,,,0|i0004v:,,18/Dec/25 12:00 AM,5.0,,,10048,FILM-11,Реалізація,To Do,05/Dec/25 1:29 PM
Розроблення функції пошуку та фільтрації,FILM-29,10081,Story,To Do,FILM,Розробка каталогу фільмів ,software,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,,Medium,,Backend Developer,712020:a2be462b-0e18-4dd7-8ff7-9d7c7312dbe3,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,05/Dec/25 1:28 PM,05/Dec/25 10:10 PM,,,17/Dec/25 12:00 AM,0,"Імплементувати функціонал пошуку фільмів за назвою, жанром, роком та фільтрацію результатів",,Ліза Горпиніч,6419f72ef1b529dfa98d5f3b,,,,,,,,,,,0|i0004n:,,12/Dec/25 12:00 AM,5.0,,,10048,FILM-11,Реалізація,To Do,05/Dec/25 1:28 PM
